Active	ID	Title	Severity	Liklihood	Remediation	Priority	Level
1	ENV01-C	Do not make assumptions about the size of an environment variable	High	Likely	Medium	18	1
1	ENV02-C	Beware of multiple environment variables with the same effective name	Low	Unlikely	Medium	2	3
1	ENV03-C	Sanitize the environment when invoking external programs	High	Likely	High	9	2
1	ENV30-C	Do not modify the object referenced by the return value of certain functions	Low	Probable	Medium	4	3
1	ENV31-C	Do not rely on an environment pointer following an operation that may invalidate it	Low	Probable	Medium	4	3
1	ENV32-C	All exit handlers must return normally	Medium	Likely	Medium	12	1
1	ENV33-C	Do not call system()	High	Probable	Medium	12	1
1	ENV34-C	Do not store pointers returned by certain functions	Low	Probable	Medium	4	3
1	FIO01-C	Be careful using functions that use file names for identification	Medium	Likely	Medium	12	1
1	FIO02-C	Canonicalize path names originating from tainted sources	Medium	Probable	Medium	8	2
1	FIO03-C	Do not make assumptions about fopen() and file creation	Medium	Probable	High	4	3
1	FIO05-C	Identify files using multiple file attributes	Medium	Probable	Medium	8	2
1	FIO06-C	Create files with appropriate access permissions	Medium	Probable	High	4	3
1	FIO08-C	Take care when calling remove() on an open file	Medium	Probable	High	4	3
1	FIO09-C	Be careful with binary data when transferring data across systems	Medium	Probable	High	4	3
1	FIO10-C	Take care when using the rename() function	Medium	Probable	Medium	8	2
1	FIO11-C	Take care when specifying the mode parameter of fopen()	Medium	Probable	Medium	8	2
1	FIO13-C	Never push back anything other than one read character	Medium	Probable	High	4	3
1	FIO14-C	Understand the difference between text mode and binary mode with file streams	Low	Probable	High	2	3
1	FIO15-C	Ensure that file operations are performed in a secure directory	Medium	Probable	High	4	3
1	FIO17-C	Do not rely on an ending null character when using fread()	Low	Likely	Medium	6	2
1	FIO18-C	Never expect fwrite() to terminate the writing process at a null character	Medium	Probable	Medium	8	2
1	FIO19-C	Do not use fseek() and ftell() to compute the size of a regular file	Low	Unlikely	Medium	2	3
1	FIO20-C	Avoid unintentional truncation when using fgets() or fgetws()	Medium	Likely	Medium	12	1
1	FIO21-C	Do not create temporary files in shared directories	High	Probable	Medium	12	1
1	FIO22-C	Close files before spawning processes	Medium	Unlikely	Medium	4	3
1	FIO23-C	Do not exit with unflushed data in stdout or stderr	Medium	Unlikely	Medium	4	3
1	FIO30-C	Exclude user input from format strings	High	Likely	Medium	18	1
1	FIO31-C	Do not open a file that is already open	Medium	Probable	High	4	3
1	FIO32-C	Do not perform operations on devices that are only appropriate for files	Medium	Unlikely	Medium	4	3
1	FIO34-C	Distinguish between characters read from a file and EOF or WEOF	High	Probable	Medium	12	1
1	FIO37-C	Do not assume that fgets() or fgetws() returns a nonempty string when successful	High	Probable	Medium	12	1
1	FIO38-C	Do not copy a FILE object	Low	Probable	Medium	4	3
1	FIO39-C	Do not alternately input and output from a stream without an intervening flush or positioning call	Low	Likely	Medium	6	2
1	FIO40-C	Reset strings on fgets() or fgetws() failure	Low	Probable	Medium	4	3
1	FIO41-C	Do not call getc(), putc(), getwc(), or putwc() with a stream argument that has side effects	Low	Unlikely	Medium	2	3
1	FIO42-C	Close files when they are no longer needed	Medium	Unlikely	Medium	4	3
1	FIO44-C	Only use values for fsetpos() that are returned from fgetpos()	Medium	Unlikely	Medium	4	3
1	FIO45-C	Avoid TOCTOU race conditions while accessing files	High	Probable	High	6	2
1	FIO46-C	Do not access a closed file	Medium	Unlikely	Medium	4	3
1	FIO47-C	Use valid format strings	High	Unlikely	Medium	6	2
1	WIN00-C	Be specific when dynamically loading libraries	High	Unlikely	Low	9	2
1	WIN01-C	Do not forcibly terminate execution	High	Likely	High	9	2
1	WIN02-C	Restrict privileges when spawning child processes	High	Likely	High	9	2
1	WIN03-C	Understand HANDLE inheritance	High	Unlikely	Low	9	2
1	WIN04-C	Consider encrypting function pointers	High	Unlikely	Low	9	2
1	WIN30-C	Properly pair allocation and deallocation functions	Low	Probable	Low	6	2
1	POS01-C	Check for the existence of links when dealing with files	Medium	Likely	High	6	2
1	POS02-C	Follow the principle of least privilege	High	Likely	High	9	2
1	POS04-C	Avoid using PTHREAD_MUTEX_NORMAL type mutex locks	Low	Unlikely	Medium	2	3
1	POS05-C	Limit access to files by creating a jail	Medium	Probable	High	4	3
1	POS30-C	Use the readlink() function properly	High	Probable	Medium	12	1
1	POS33-C	Do not use vfork()	Low	Probable	Low	6	2
1	POS34-C	Do not call putenv() with a pointer to an automatic variable as the argument	High	Unlikely	Medium	6	2
1	POS35-C	Avoid race conditions while checking for the existence of a symbolic link	High	Likely	Medium	18	1
1	POS36-C	Observe correct revocation order while relinquishing privileges	High	Probable	Medium	12	1
1	POS37-C	Ensure that privilege relinquishment is successful	High	Probable	Low	18	1
1	POS38-C	Beware of race conditions when using fork and file descriptors	Medium	Unlikely	Medium	4	3
1	POS39-C	Use the correct byte ordering when transferring data between systems	Medium	Likely	Low	18	1
1	POS44-C	Do not use signals to terminate threads	Low	Probable	Low	6	2
1	POS47-C	Do not use threads that can be canceled asynchronously	Medium	Probable	Low	12	1
1	POS48-C	Do not unlock or destroy another POSIX thread&#39;s mutex	Medium	Probable	High	4	3
1	POS49-C	When data must be accessed by multiple threads, provide a mutex and guarantee no adjacent data is also accessed	Medium	Probable	Medium	8	2
1	POS50-C	Declare objects shared between POSIX threads with appropriate storage durations	Medium	Probable	High	4	3
1	POS51-C	Avoid deadlock with POSIX threads by locking in predefined order	Low	Probable	Medium	4	3
1	POS52-C	Do not perform operations that can block while holding a POSIX lock	Low	Probable	High	2	3
1	POS54-C	Detect and handle POSIX library errors	High	Likely	Medium	18	1
1	POS53-C	Do not use more than one mutex for concurrent waiting operations on a condition variable	Medium	Probable	High	4	3
0	MSC00-C	Compile cleanly at High warning levels	Medium	Probable	Medium	8	2
1	MSC01-C	Strive for logical completeness	Medium	Probable	Medium	8	2
0	MSC04-C	Use comments consistently and in a readable fashion	Medium	Unlikely	Medium	4	3
1	MSC05-C	Do not manipulate time_t typed values directly	Low	Unlikely	Medium	2	3
1	MSC06-C	Beware of compiler optimizations	Medium	Probable	Medium	8	2
0	MSC07-C	Detect and remove dead code	Low	Unlikely	Medium	2	3
1	MSC09-C	Character encoding: Use subset of ASCII for safety	Medium	Unlikely	Medium	4	3
1	MSC10-C	Character encoding: UTF8-related issues	Medium	Unlikely	High	2	3
1	MSC11-C	Incorporate diagnostic tests using assertions	Low	Unlikely	High	1	3
0	MSC12-C	Detect and remove code that has no effect	Low	Unlikely	Medium	2	3
0	MSC13-C	Detect and remove unused values	Low	Unlikely	Medium	2	3
1	MSC14-C	Do not introduce unnecessary platform dependencies	Low	Unlikely	Medium	2	3
1	MSC15-C	Do not depend on undefined behavior	High	Likely	Medium	18	1
0	MSC17-C	Finish every set of statements associated with a case label with a break statement	Medium	Likely	Low	18	1
1	MSC18-C	Be careful while handling sensitive data, such as passwords, in program code	Medium	Probable	Medium	8	2
1	MSC19-C	For functions that return an array, prefer returning an empty array over a null value	Low	Unlikely	High	1	3
1	MSC20-C	Do not use a switch statement to transfer control into a complex block	Medium	Probable	Medium	8	2
1	MSC21-C	Use robust loop termination conditions	Low	Unlikely	Low	3	3
1	MSC22-C	Use the setjmp(), longjmp() facility securely	Low	Probable	Medium	4	3
1	MSC24-C	Do not use deprecated or obsolescent functions	High	Probable	Medium	12	1
1	MSC30-C	Do not use the rand() function for generating pseudorandom numbers	Medium	Unlikely	Low	6	2
1	MSC32-C	Properly seed pseudorandom number generators	Medium	Likely	Low	18	1
1	MSC33-C	Do not pass invalid data to the asctime() function	High	Likely	Low	27	1
1	MSC37-C	Ensure that control never reaches the end of a non-void function	High	Unlikely	Low	9	2
1	MSC38-C	Do not treat a predefined identifier as an object if it might only be implemented as a macro	Low	Unlikely	Medium	2	3
1	MSC39-C	Do not call va_arg() on a va_list that has an indeterminate value	Low	Unlikely	Low	3	3
1	MSC40-C	Do not violate constraints	Low	Unlikely	Medium	2	3
1	CON00-C	Avoid race conditions with multiple threads	Medium	Probable	High	4	3
1	CON01-C	Acquire and release synchronization primitives in the same module, at the same level of abstraction	Low	Probable	Medium	4	3
1	CON02-C	Do not use volatile as a synchronization primitive	Medium	Probable	Medium	8	2
1	CON04-C	Join or detach threads even if their exit status is unimportant	Low	Unlikely	High	1	3
1	CON05-C	Do not perform operations that can block while holding a lock	Low	Probable	High	2	3
1	CON07-C	Ensure that compound operations on shared variables are atomic	Medium	Probable	Medium	8	2
1	CON08-C	Do not assume that a group of calls to independently atomic methods is atomic	Low	Probable	Medium	4	3
1	CON09-C	Avoid the ABA problem when using lock-free algorithms	Medium	Unlikely	High	2	3
1	CON30-C	Clean up thread-specific storage	Medium	Unlikely	Medium	4	3
1	CON31-C	Do not destroy a mutex while it is locked	Medium	Probable	High	4	3
1	CON32-C	Prevent data races when accessing bit-fields from multiple threads	Medium	Probable	Medium	8	2
1	CON33-C	Avoid race conditions when using library functions	Medium	Probable	High	4	3
1	CON34-C	Declare objects shared between threads with appropriate storage durations	Medium	Probable	High	4	3
1	CON35-C	Avoid deadlock by locking in a predefined order	Low	Probable	Medium	4	3
1	CON36-C	Wrap functions that can spuriously wake up in a loop	Low	Unlikely	Medium	2	3
1	CON37-C	Do not call signal() in a multithreaded program	Low	Probable	Low	6	2
1	CON38-C	Notify all threads waiting on a condition variable	Low	Unlikely	Medium	2	3
1	CON39-C	Do not join or detach a thread that was previously joined or detached	Low	Likely	Medium	6	2
1	CON40-C	Do not refer to an atomic variable twice in an expression	Medium	Probable	Medium	8	2
1	CON41-C	Wrap functions that can fail spuriously in a loop	Low	Unlikely	Medium	2	3
1	CON43-C	Do not allow data races in multithreaded code	Medium	Probable	High	4	3
1	API00-C	Functions should validate their parameters	Medium	Unlikely	High	2	3
1	API02-C	Functions that read or write to or from an array should take an argument to specify the source or target size	High	Likely	High	9	2
1	API03-C	Create consistent interfaces and capabilities across related functions	Medium	Unlikely	Medium	4	3
1	API04-C	Provide a consistent and usable error-checking mechanism	Medium	Unlikely	Medium	4	3
1	API07-C	Enforce type safety	Medium	Unlikely	Medium	4	3
1	API08-C	Avoid parameter names in a function prototype	Medium	Unlikely	Medium	4	3
1	API09-C	Compatible values should have the same type	Low	Unlikely	High	1	3
1	ERR00-C	Adopt and implement a consistent and comprehensive error-handling policy	Medium	Probable	High	4	3
1	ERR01-C	Use ferror() rather than errno to check for FILE stream errors	Low	Probable	Low	6	2
1	ERR02-C	Avoid in-band error indicators	Low	Unlikely	High	1	3
1	ERR03-C	Use runtime-constraint handlers when calling the bounds-checking interfaces	Low	Unlikely	Medium	2	3
1	ERR04-C	Choose an appropriate termination strategy	Medium	Probable	High	4	3
1	ERR05-C	Application-independent code should provide error detection without dictating error handling	Medium	Probable	High	4	3
1	ERR06-C	Understand the termination behavior of assert() and abort()	Medium	Unlikely	Medium	4	3
1	ERR07-C	Prefer functions that support error checking over equivalent functions that don&#39;t	Medium	Probable	Medium	8	2
1	ERR30-C	Set errno to zero before calling a library function known to set errno, and check errno only after the function returns a value indicating failure	Medium	Probable	Medium	8	2
1	ERR32-C	Do not rely on indeterminate values of errno	Low	Unlikely	Low	3	3
1	ERR33-C	Detect and handle standard library errors	High	Likely	Medium	18	1
1	ERR34-C	Detect errors when converting a string to a number	Medium	Unlikely	Medium	4	3
1	SIG00-C	Mask signals handled by noninterruptible signal handlers	High	Likely	High	9	2
1	SIG01-C	Understand implementation-specific details regarding signal handler persistence	Low	Unlikely	Low	3	3
1	SIG02-C	Avoid using signals to implement normal functionality	High	Probable	Medium	12	1
1	SIG30-C	Call only asynchronous-safe functions within signal handlers	High	Likely	Medium	18	1
1	SIG31-C	Do not access shared objects in signal handlers	High	Likely	High	9	2
1	SIG34-C	Do not call signal() from within interruptible signal handlers	Low	Unlikely	Low	3	3
1	SIG35-C	Do not return from a computational exception signal handler	Low	Unlikely	High	1	3
1	MEM00-C	Allocate and free memory in the same module, at the same level of abstraction	High	Probable	Medium	12	1
1	MEM01-C	Store a new value in pointers immediately after free()	High	Unlikely	Low	9	2
1	MEM02-C	Immediately cast the result of a memory allocation function call into a pointer to the allocated type	Low	Unlikely	Low	3	3
1	MEM03-C	Clear sensitive information stored in reusable resources	Medium	Unlikely	High	2	3
1	MEM04-C	Beware of zero-length allocations	Low	Likely	Medium	6	2
1	MEM05-C	Avoid large stack allocations	Medium	Likely	Medium	12	1
1	MEM06-C	Ensure that sensitive data is not written out to disk	Medium	Unlikely	High	2	3
1	MEM07-C	Ensure that the arguments to calloc(), when multiplied, do not wrap	High	Unlikely	Medium	6	2
1	MEM10-C	Define and use a pointer validation function	High	Unlikely	High	3	3
1	MEM11-C	Do not assume infinite heap space	Low	Probable	High	2	3
1	MEM12-C	Consider using a goto chain when leaving a function on error when using and releasing resources	Low	Probable	Medium	4	3
1	MEM30-C	Do not access freed memory	High	Likely	Medium	18	1
1	MEM31-C	Free dynamically allocated memory when no longer needed	Medium	Probable	Medium	8	2
1	MEM33-C	Allocate and copy structures containing a flexible array member dynamically	Low	Unlikely	Low	3	3
1	MEM34-C	Only free memory allocated dynamically	High	Likely	Medium	18	1
1	MEM35-C	Allocate sufficient memory for an object	High	Probable	High	6	2
1	MEM36-C	Do not modify the alignment of objects by calling realloc()	Low	Probable	High	2	3
1	STR00-C	Represent characters using an appropriate type	Medium	Probable	Low	12	1
1	STR01-C	Adopt and implement a consistent plan for managing strings	Low	Unlikely	High	1	3
1	STR02-C	Sanitize data passed to complex subsystems	High	Likely	Medium	18	1
1	STR03-C	Do not inadvertently truncate a string	Medium	Probable	Medium	8	2
1	STR04-C	Use plain char for characters in the basic character set	Low	Unlikely	Low	3	3
0	STR05-C	Use pointers to const when referring to string literals	Low	Unlikely	Low	3	3
1	STR06-C	Do not assume that strtok() leaves the parse string unchanged	Medium	Likely	Medium	12	1
1	STR07-C	Use the bounds-checking interfaces for remediation of existing string manipulation code	High	Probable	Medium	12	1
1	STR08-C	Use managed strings for development of new string manipulation code	High	Probable	High	6	2
1	STR09-C	Don&#39;t assume numeric values for expressions with type plain character	Low	Unlikely	Low	3	3
1	STR10-C	Do not concatenate different type of string literals	Low	Probable	Medium	4	3
1	STR11-C	Do not specify the bound of a character array initialized with a string literal	Low	Probable	Low	6	2
1	STR30-C	Do not attempt to modify string literals	Low	Likely	Low	9	2
1	STR31-C	Guarantee that storage for strings has sufficient space for character data and the null terminator	High	Likely	Medium	18	1
1	STR32-C	Do not pass a non-null-terminated character sequence to a library function that expects a string	High	Probable	Medium	12	1
1	STR34-C	Cast characters to unsigned char before converting to larger integer sizes	Medium	Probable	Medium	8	2
1	STR37-C	Arguments to character-handling functions must be representable as an unsigned char	Low	Unlikely	Low	3	3
1	STR38-C	Do not confuse narrow and wide character strings and functions	High	Likely	Low	27	1
1	ARR00-C	Understand how arrays work	High	Probable	High	6	2
1	ARR01-C	Do not apply the sizeof operator to a pointer when taking the size of an array	High	Probable	Low	18	1
0	ARR02-C	Explicitly specify array bounds, even if implicitly defined by an initializer	Medium	Unlikely	Low	6	2
1	ARR30-C	Do not form or use out-of-bounds pointers or array subscripts	High	Likely	High	9	2
1	ARR32-C	Ensure size arguments for variable length arrays are in a valid range	High	Probable	High	6	2
1	ARR36-C	Do not subtract or compare two pointers that do not refer to the same array	Medium	Probable	Medium	8	2
1	ARR37-C	Do not add or subtract an integer to a pointer to a non-array object	Medium	Probable	Medium	8	2
1	ARR38-C	Guarantee that library functions do not form invalid pointers	High	Likely	Medium	18	1
1	ARR39-C	Do not add or subtract a scaled integer to a pointer	High	Probable	High	6	2
1	FLP00-C	Understand the limitations of floating-point numbers	Medium	Probable	High	4	3
1	FLP01-C	Take care in rearranging floating-point expressions	Low	Probable	High	2	3
1	FLP02-C	Avoid using floating-point numbers when precise computation is needed	Low	Probable	High	2	3
1	FLP03-C	Detect and handle floating-point errors	Low	Probable	High	2	3
