tool,checker,rule
cppcheck_oss,AssignmentAddressToInteger,INT36-C
cppcheck_oss,AssignmentIntegerToAddress,INT36-C
cppcheck_oss,CastAddressToIntegerAtReturn,INT36-C
cppcheck_oss,CastIntegerToAddressAtReturn,INT36-C
cppcheck_oss,ConfigurationNotChecked,NONE
cppcheck_oss,IOWithoutPositioning,FIO39-C
cppcheck_oss,accessForwarded,EXP63-CPP
cppcheck_oss,allocaCalled,MSC24-C
cppcheck_oss,argumentSize,ARR30-C
cppcheck_oss,arithOperationsOnVoidPointer,MSC15-C
cppcheck_oss,arrayIndexOutOfBounds,ARR30-C
cppcheck_oss,arrayIndexOutOfBoundsCond,ARR30-C
cppcheck_oss,arrayIndexThenCheck,ARR30-C
cppcheck_oss,assertWithSideEffect,PRE31-C
cppcheck_oss,assignIfError,MSC07-C
cppcheck_oss,assignmentInAssert,PRE31-C
cppcheck_oss,autoVariables,DCL30-C
cppcheck_oss,autovarInvalidDeallocation,DCL30-C
cppcheck_oss,badBitmaskCheck,EXP46-C
cppcheck_oss,bufferAccessOutOfBounds,ARR30-C
cppcheck_oss,catchExceptionByValue,ERR61-CPP
cppcheck_oss,charArrayIndex,INT31-C
cppcheck_oss,charBitOp,INT31-C
cppcheck_oss,charLiteralWithCharPtrCompare,ARR36-C
cppcheck_oss,checkCastIntToCharAndBack,FIO34-C
cppcheck_oss,clarifyCalculation,NONE
cppcheck_oss,clarifyCondition,NONE
cppcheck_oss,clarifyStatement,MSC12-C
cppcheck_oss,commaSeparatedReturn,NONE
cppcheck_oss,compareBoolExpressionWithInt,EXP46-C
cppcheck_oss,comparePointers,ARR36-C
cppcheck_oss,comparisonError,MSC07-C
cppcheck_oss,comparisonFunctionIsAlwaysTrueOrFalse,MSC07-C
cppcheck_oss,constParameter,DCL00-C
cppcheck_oss,constStatement,DCL00-C
cppcheck_oss,constVariable,DCL00-C
cppcheck_oss,cstyleCast,NONE
cppcheck_oss,ctunullpointer,EXP34-C
cppcheck_oss,ctuuninitvar,EXP33-C
cppcheck_oss,doubleFree,MEM30-C
cppcheck_oss,duplInheritedMember,NONE
cppcheck_oss,duplicateBreak,MSC07-C
cppcheck_oss,duplicateCondition,MSC01-C
cppcheck_oss,duplicateExpression,MSC12-C
cppcheck_oss,duplicateValueTernary,MSC01-C
cppcheck_oss,fflushOnInputStream,MSC15-C
cppcheck_oss,identicalConditionAfterEarlyExit,NONE
cppcheck_oss,identicalInnerCondition,NONE
cppcheck_oss,incorrectLogicOperator,MSC12-C
cppcheck_oss,incorrectStringCompare,EXP37-C
cppcheck_oss,insecureCmdLineArgs,STR31-C
cppcheck_oss,integerOverflow,INT32-C
cppcheck_oss,integerOverflowCond,INT32-C
cppcheck_oss,internalAstError,NONE
cppcheck_oss,invalidLifetime,MEM50-CPP
cppcheck_oss,invalidPointerCast,EXP39-C
cppcheck_oss,invalidPrintfArgType_float,FIO47-C
cppcheck_oss,invalidPrintfArgType_int,FIO47-C
cppcheck_oss,invalidPrintfArgType_n,FIO47-C
cppcheck_oss,invalidPrintfArgType_p,FIO47-C
cppcheck_oss,invalidPrintfArgType_s,FIO47-C
cppcheck_oss,invalidPrintfArgType_sint,FIO47-C
cppcheck_oss,invalidPrintfArgType_uint,FIO47-C
cppcheck_oss,invalidScanfArgType_float,FIO47-C
cppcheck_oss,invalidScanfArgType_int,FIO47-C
cppcheck_oss,invalidScanfArgType_s,FIO47-C
cppcheck_oss,invalidscanf,FIO47-C
cppcheck_oss,knownConditionTrueFalse,MSC07-C
cppcheck_oss,legacyUninitvar,EXP33-C
cppcheck_oss,literalWithCharPtrCompare,NONE
cppcheck_oss,memleak,MEM31-C
cppcheck_oss,memleakOnRealloc,MEM31-C
cppcheck_oss,memsetClassFloat,FLP37-C
cppcheck_oss,memsetFloat,MSC14-C
cppcheck_oss,memsetValueOutOfRange,INT31-C
cppcheck_oss,memsetZeroBytes,MSC12-C
cppcheck_oss,mismatchSize,MEM35-C
cppcheck_oss,mismatchingBitAnd,MSC12-C
cppcheck_oss,missingInclude,NONE
cppcheck_oss,missingIncludeSystem,NONE
cppcheck_oss,missingOverride,NONE
cppcheck_oss,missingReturn,NONE
cppcheck_oss,moduloAlwaysTrueFalse,MSC12-C
cppcheck_oss,multiCondition,MSC07-C
cppcheck_oss,nanInArithmeticExpression,FLP04-C
cppcheck_oss,negativeIndex,ARR30-C
cppcheck_oss,negativeMemoryAllocationSize,INT30-C
cppcheck_oss,noConstructor,NONE
cppcheck_oss,noCopyConstructor,NONE
cppcheck_oss,noExplicitConstructor,DCL53-CPP
cppcheck_oss,noOperatorEq,OOP54-CPP
cppcheck_oss,noValidConfiguration,NONE
cppcheck_oss,nonreentrantFunctionscrypt,MSC24-C
cppcheck_oss,nonreentrantFunctionsctermid,MSC24-C
cppcheck_oss,nonreentrantFunctionsecvt,MSC24-C
cppcheck_oss,nonreentrantFunctionsfcvt,MSC24-C
cppcheck_oss,nonreentrantFunctionsfgetgrent,MSC24-C
cppcheck_oss,nonreentrantFunctionsfgetpwent,MSC24-C
cppcheck_oss,nonreentrantFunctionsfgetspent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgcvt,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetgrent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetgrgid,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetgrnam,MSC24-C
cppcheck_oss,nonreentrantFunctionsgethostbyaddr,MSC24-C
cppcheck_oss,nonreentrantFunctionsgethostbyname,MSC24-C
cppcheck_oss,nonreentrantFunctionsgethostbyname2,MSC24-C
cppcheck_oss,nonreentrantFunctionsgethostent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetlogin,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetnetbyaddr,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetnetbyname,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetnetgrent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetprotobyname,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetpwent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetpwnam,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetpwuid,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetrpcbyname,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetrpcbynumber,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetrpcent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetservbyname,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetservbyport,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetservent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetspent,MSC24-C
cppcheck_oss,nonreentrantFunctionsgetspnam,MSC24-C
cppcheck_oss,nonreentrantFunctionsgmtime,MSC24-C
cppcheck_oss,nonreentrantFunctionslocaltime,MSC24-C
cppcheck_oss,nonreentrantFunctionsreaddir,MSC24-C
cppcheck_oss,nonreentrantFunctionsstrtok,MSC24-C
cppcheck_oss,nonreentrantFunctionstempnam,MSC24-C
cppcheck_oss,nonreentrantFunctionsttyname,MSC24-C
cppcheck_oss,nullPointer,EXP34-C
cppcheck_oss,nullPointerArithmetic,EXP34-C
cppcheck_oss,nullPointerArithmeticRedundantCheck,EXP34-C
cppcheck_oss,nullPointerDefaultArg,EXP34-C
cppcheck_oss,nullPointerRedundantCheck,EXP34-C
cppcheck_oss,objectIndex,ARR30-C
cppcheck_oss,obsoleteFunctionsasctime_r,MSC24-C
cppcheck_oss,obsoleteFunctionsbcmp,MSC24-C
cppcheck_oss,obsoleteFunctionsbcopy,MSC24-C
cppcheck_oss,obsoleteFunctionsbsd_signal,MSC24-C
cppcheck_oss,obsoleteFunctionsbzero,MSC24-C
cppcheck_oss,obsoleteFunctionsctime_r,MSC24-C
cppcheck_oss,obsoleteFunctionsecvt,MSC24-C
cppcheck_oss,obsoleteFunctionsfcvt,MSC24-C
cppcheck_oss,obsoleteFunctionsftime,MSC24-C
cppcheck_oss,obsoleteFunctionsgcvt,MSC24-C
cppcheck_oss,obsoleteFunctionsgetcontext,MSC24-C
cppcheck_oss,obsoleteFunctionsgethostbyaddr,MSC24-C
cppcheck_oss,obsoleteFunctionsgethostbyname,MSC24-C
cppcheck_oss,obsoleteFunctionsgetwd,MSC24-C
cppcheck_oss,obsoleteFunctionsindex,MSC24-C
cppcheck_oss,obsoleteFunctionsmakecontext,MSC24-C
cppcheck_oss,obsoleteFunctionspthread_attr_getstackaddr,MSC24-C
cppcheck_oss,obsoleteFunctionspthread_attr_setstackaddr,MSC24-C
cppcheck_oss,obsoleteFunctionsrand_r,MSC24-C
cppcheck_oss,obsoleteFunctionsrindex,MSC24-C
cppcheck_oss,obsoleteFunctionsscalbln,MSC24-C
cppcheck_oss,obsoleteFunctionsswapcontext,MSC24-C
cppcheck_oss,obsoleteFunctionstmpnam,MSC24-C
cppcheck_oss,obsoleteFunctionstmpnam_r,MSC24-C
cppcheck_oss,obsoleteFunctionsualarm,MSC24-C
cppcheck_oss,obsoleteFunctionsusleep,MSC24-C
cppcheck_oss,obsoleteFunctionsutime,MSC24-C
cppcheck_oss,obsoleteFunctionsvfork,MSC24-C
cppcheck_oss,obsoleteFunctionswcswcs,MSC24-C
cppcheck_oss,operatorEqVarError,OOP54-CPP
