Checker,Path,Line,Column,Message,Tool,End_Line,End_Column,tool,checker,rule
llvmlibc-restrict-system-libc-headers,common.c,38,1,"system include langinfo.h not allowed",clang_tidy_oss,38,22,clang_tidy_oss,llvmlibc-restrict-system-libc-headers,NONE
clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling,common.c,64,5,"Call to function 'strncpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'strncpy_s' in case of C11",clang_tidy_oss,64,11,clang_tidy_oss,clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling,MSC24-C
cert-err33-c,common.c,68,9,"the value returned by this function should be used",clang_tidy_oss,68,9,clang_tidy_oss,cert-err33-c,ERR33-C
readability-identifier-length,common.c,74,23,"parameter name 'fp' is too short, expected at least 3 characters",clang_tidy_oss,74,23,clang_tidy_oss,readability-identifier-length,NONE
bugprone-easily-swappable-parameters,common.c,74,64,"2 adjacent parameters of 'd2u_fclose' of similar type ('const char *') are easily swapped by mistake",clang_tidy_oss,74,98,clang_tidy_oss,bugprone-easily-swappable-parameters,NONE
readability-identifier-length,common.c,74,76,"parameter name 'm' is too short, expected at least 3 characters",clang_tidy_oss,74,76,clang_tidy_oss,readability-identifier-length,NONE
cert-err33-c,common.c,79,7,"the value returned by this function should be used",clang_tidy_oss,79,7,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,80,23,"statement should be inside braces",clang_tidy_oss,80,23,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,81,9,"the value returned by this function should be used",clang_tidy_oss,81,9,clang_tidy_oss,cert-err33-c,ERR33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,82,11,"statement should be inside braces",clang_tidy_oss,82,11,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,83,9,"the value returned by this function should be used",clang_tidy_oss,83,9,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,84,7,"the value returned by this function should be used",clang_tidy_oss,84,7,clang_tidy_oss,cert-err33-c,ERR33-C
concurrency-mt-unsafe,common.c,84,41,"function is not thread safe",clang_tidy_oss,84,41,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,379,32,"statement should be inside braces",clang_tidy_oss,379,32,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"llvm-else-after-return,readability-else-after-return",common.c,443,7,"do not use 'else' after 'return'",clang_tidy_oss,443,10,clang_tidy_oss,"llvm-else-after-return,readability-else-after-return",NONE
concurrency-mt-unsafe,common.c,448,29,"function is not thread safe",clang_tidy_oss,448,29,clang_tidy_oss,concurrency-mt-unsafe,CON33-C
cert-err33-c,common.c,450,8,"the value returned by this function should be used",clang_tidy_oss,450,8,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,451,8,"the value returned by this function should be used",clang_tidy_oss,451,8,clang_tidy_oss,cert-err33-c,ERR33-C
