Rule,Alerts
ARR01-C,9
ARR30-C,457
CON33-C,41
DCL00-C,316
DCL02-C,1
DCL04-C,367
DCL06-C,2839
DCL16-C,8
DCL37-C,65
DCL50-CPP,36
DCL57-CPP,3
DCL58-CPP,3
ERR33-C,124
ERR34-C,13
ERR58-CPP,9
EXP05-C,3
EXP12-C,1
EXP15-C,14
EXP19-C,4413
EXP33-C,5225
EXP34-C,44
EXP37-C,2
EXP42-C,1
EXP45-C,186
INT13-C,4531
INT18-C,80
INT31-C,565
INT36-C,62
MEM31-C,11
MEM35-C,3
MSC01-C,20
MSC13-C,16
MSC24-C,631
MSC30-C,1
NONE,24696
OOP50-CPP,16
OOP52-CPP,12
OOP53-CPP,67
OOP54-CPP,7
PRE01-C,175
STR07-C,11
STR32-C,59
Grand Total,45143
