Checker,Path,Line,Column,Message,tool,checker,rule
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/string_view.hpp,97,13,"Class 'string_view' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/string_view.hpp,107,13,"Class 'string_view' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noValidConfiguration,build/auxil/zeekctl/auxil/pysubnettree/CMakeFiles/SubnetTree.dir/SubnetTreePYTHON_wrap.cxx,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
variableScope,auxil/c-ares/src/lib/ares_cancel.c,28,17,"The scope of the variable 'query' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_cancel.c,32,7,"The scope of the variable 'i' can be reduced.",cppcheck,variableScope,DCL19-C
syntaxError,src/zeek/zeek/Type.h,84,1,"syntax error",cppcheck,syntaxError,NONE
syntaxError,src/zeek/zeek/zeek/List.h,33,1,"syntax error",cppcheck,syntaxError,NONE
syntaxError,src/zeek/zeek/zeek/zeek/zeek/zeek/List.h,33,1,"syntax error",cppcheck,syntaxError,NONE
syntaxError,src/zeek/zeek/zeek/zeek/List.h,33,1,"syntax error",cppcheck,syntaxError,NONE
noValidConfiguration,auxil/spicy/spicy/hilti/runtime/src/fiber.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
templateRecursion,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/SafeInt/SafeInt.hpp,5837,107,"TemplateSimplifier: max template recursion (100) reached for template 'GetCastMethod<detail :: SafeIntException>'. You might want to limit Cppcheck recursion.",cppcheck,templateRecursion,NONE
templateRecursion,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/SafeInt/SafeInt.hpp,1140,27,"TemplateSimplifier: max template recursion (100) reached for template 'type_compare<wchar_t>'. You might want to limit Cppcheck recursion.",cppcheck,templateRecursion,NONE
noExplicitConstructor,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,444,5,"Class 'path' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,446,5,"Class 'path' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
knownConditionTrueFalse,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,1512,22,"Condition 'unicode>=0x80' is always true",cppcheck,knownConditionTrueFalse,MSC07-C
knownConditionTrueFalse,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,3407,55,"Condition '_iter!=_last' is always true",cppcheck,knownConditionTrueFalse,MSC07-C
useStlAlgorithm,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,3316,16,"Consider using std::accumulate algorithm instead of a raw loop.",cppcheck,useStlAlgorithm,NONE
unreadVariable,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,4579,17,"Variable 'fs' is assigned a value that is never used.",cppcheck,unreadVariable,MSC13-C
preprocessorErrorDirective,auxil/broker/caf/libcaf_core/caf/inspector_access.hpp,14,0,"failed to evaluate #if condition",cppcheck,preprocessorErrorDirective,NONE
knownConditionTrueFalse,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,4945,25,"Condition 'lisize.QuadPart<0' is always false",cppcheck,knownConditionTrueFalse,MSC07-C
cstyleCast,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,2460,25,"C-style pointer casting",cppcheck,cstyleCast,NONE
useStlAlgorithm,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,1813,23,"Consider using std::replace_if algorithm instead of a raw loop.",cppcheck,useStlAlgorithm,NONE
useStlAlgorithm,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,2914,15,"Consider using std::replace_if algorithm instead of a raw loop.",cppcheck,useStlAlgorithm,NONE
unusedVariable,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,2380,25,"Unused variable: result",cppcheck,unusedVariable,MSC13-C
postfixOperator,auxil/spicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp,3391,17,"Prefer prefix ++/-- operators for non-primitive types.",cppcheck,postfixOperator,NONE
noValidConfiguration,auxil/broker/tests/cpp/status_subscriber.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
syntaxError,src/zeek/zeek/zeek/zeek/zeek/zeek/zeek/List.h,33,1,"syntax error",cppcheck,syntaxError,NONE
syntaxError,src/zeek/zeek/List.h,33,1,"syntax error",cppcheck,syntaxError,NONE
syntaxError,src/zeek/zeek/zeek/zeek/zeek/List.h,33,1,"syntax error",cppcheck,syntaxError,NONE
syntaxError,auxil/spicy/spicy/hilti/toolchain/include/hilti/base/visitor.h,24,98,"syntax error: operator",cppcheck,syntaxError,NONE
noValidConfiguration,auxil/broker/caf/libcaf_core/src/load_inspector.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/caf/libcaf_io/src/io/abstract_broker.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
invalidPrintfArgType_sint,auxil/spicy/spicy/3rdparty/justrx/src/dfa-interpreter-min.c,68,13,"%d in format string (no. 1) requires 'int' but the argument type is 'unsigned int'.",cppcheck,invalidPrintfArgType_sint,FIO47-C
memleak,auxil/spicy/spicy/3rdparty/justrx/src/ccl.h,23,1,"Memory leak: fset",cppcheck,memleak,MEM31-C
memleak,auxil/spicy/spicy/3rdparty/justrx/src/ccl.h,39,1,"Memory leak: fset",cppcheck,memleak,MEM31-C
memleak,auxil/spicy/spicy/3rdparty/justrx/src/nfa.h,27,1,"Memory leak: fset",cppcheck,memleak,MEM31-C
memleak,auxil/spicy/spicy/3rdparty/justrx/src/nfa.h,35,1,"Memory leak: fset",cppcheck,memleak,MEM31-C
memleak,auxil/spicy/spicy/3rdparty/justrx/src/dfa.h,23,1,"Memory leak: fset",cppcheck,memleak,MEM31-C
variableScope,auxil/c-ares/src/lib/ares_query.c,41,17,"The scope of the variable 'xorIndex' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_query.c,144,16,"The scope of the variable 'ancount' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_query.c,145,7,"The scope of the variable 'rcode' can be reduced.",cppcheck,variableScope,DCL19-C
uninitvar,auxil/c-ares/src/lib/ares_query.c,70,41,"Uninitialized variable: qid",cppcheck,uninitvar,EXP33-C
ConfigurationNotChecked,auxil/c-ares/src/lib/ares_query.c,158,0,"Skipping configuration 'CARES_STATICLIB=1;DOCTEST_CONFIG_SUPER_FAST_ASSERTS=1;HAVE_CONFIG_H=1;_GNU_SOURCE=1;_POSIX_C_SOURCE=199309L;_XOPEN_SOURCE=600;NDEBUG=1;__PIC__=1;HAVE_ARPA_NAMESER_COMPAT_H;NOERROR;_WIN32;CARES_TYPEOF_ARES_SOCKLEN_T;_MSC_VER;__POCC__OLDNAMES' since the value of 'NOERROR' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.",cppcheck,ConfigurationNotChecked,NONE
useInitializationList,auxil/binpac/src/pac_common.h,28,3,"Variable 'filename' is assigned in constructor body. Consider performing initialization in initialization list.",cppcheck,useInitializationList,OOP53-CPP
noExplicitConstructor,auxil/binpac/src/pac_id.h,47,2,"Class 'ID' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_expr.h,21,2,"Class 'Expr' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_expr.h,22,2,"Class 'Expr' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_expr.h,23,2,"Class 'Expr' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_expr.h,24,2,"Class 'Expr' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_expr.h,25,2,"Class 'Expr' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_inputbuf.h,12,2,"Class 'InputBuffer' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_output.h,13,2,"Class 'OutputException' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/binpac/src/pac_output.h,24,2,"Class 'Output' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
missingOverride,auxil/binpac/src/pac_datadep.h,59,7,"The function 'PreProcess' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_datadep.h,60,7,"The function 'PostProcess' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_decl.h,81,7,"The function 'Prepare' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_decl.h,82,7,"The function 'GenExternDeclaration' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_decl.h,83,7,"The function 'GenForwardDeclaration' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_decl.h,86,7,"The function 'GenCode' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_field.h,73,7,"The function 'DoTraverse' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_withinput.h,16,7,"The function 'Prepare' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_withinput.h,27,7,"The function 'GenEval' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_withinput.h,29,7,"The function 'RequiresAnalyzerContext' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_withinput.h,32,7,"The function 'DoTraverse' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_expr.h,92,7,"The function 'DoTraverse' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_expr.h,133,7,"The function 'DoTraverse' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_inputbuf.h,18,7,"The function 'DoTraverse' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
missingOverride,auxil/binpac/src/pac_type.h,239,7,"The function 'DoTraverse' overrides a function in a base class but is not marked with a 'override' specifier.",cppcheck,missingOverride,NONE
passedByValue,auxil/binpac/src/pac_id.h,47,12,"Function parameter 'arg_name' should be passed by const reference.",cppcheck,passedByValue,NONE
arrayIndexOutOfBoundsCond,auxil/spicy/spicy/3rdparty/utf8proc/utf8proc.c,666,43,"Either the condition 'starter_property->comb_index<0x8000' is redundant or the array 'utf8proc_combinations[5414]' is accessed at index 32767, which is out of bounds.",cppcheck,arrayIndexOutOfBoundsCond,ARR30-C
knownConditionTrueFalse,auxil/spicy/spicy/3rdparty/utf8proc/utf8proc.c,648,27,"Condition 'hangul_sindex>=0' is always false",cppcheck,knownConditionTrueFalse,MSC07-C
variableScope,auxil/spicy/spicy/3rdparty/utf8proc/utf8proc.c,535,22,"The scope of the variable 'decomp_result' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/spicy/spicy/3rdparty/utf8proc/utf8proc.c,592,22,"The scope of the variable 'uc' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/spicy/spicy/3rdparty/utf8proc/utf8proc.c,622,22,"The scope of the variable 'current_char' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_parse_uri_reply.c,48,15,"The scope of the variable 'rr_type' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_parse_uri_reply.c,48,24,"The scope of the variable 'rr_class' can be reduced.",cppcheck,variableScope,DCL19-C
variableScope,auxil/c-ares/src/lib/ares_parse_uri_reply.c,48,34,"The scope of the variable 'rr_len' can be reduced.",cppcheck,variableScope,DCL19-C
