Checker	Path	Line	Column	Message
noExplicitConstructor	auxibroker/caf/libcaf_core/caf/string_view.hpp	97	13	Class 'string_view' has a constructor with 1 argument that is not explicit.
noExplicitConstructor	auxibroker/caf/libcaf_core/caf/string_view.hpp	107	13	Class 'string_view' has a constructor with 1 argument that is not explicit.
noValidConfiguration	builauxil/zeekctl/auxil/pysubnettree/CMakeFiles/SubnetTree.dir/SubnetTreePYTHON_wrap.cxx	0	0	This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.
variableScope	auxic-ares/src/lib/ares_cancel.c	28	17	The scope of the variable 'query' can be reduced.
variableScope	auxic-ares/src/lib/ares_cancel.c	32	7	The scope of the variable 'i' can be reduced.
syntaxError	src/zeek/zeek/Type.h	84	1	syntax error
syntaxError	src/zeek/zeek/zeek/List.h	33	1	syntax error
syntaxError	src/zeek/zeek/zeek/zeek/zeek/zeek/List.h	33	1	syntax error
syntaxError	src/zeek/zeek/zeek/zeek/List.h	33	1	syntax error
noValidConfiguration	auxispicy/spicy/hilti/runtime/src/fiber.cc	0	0	This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.
templateRecursion	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/SafeInt/SafeInt.hpp	5837	107	TemplateSimplifier: max template recursion (100) reached for template 'GetCastMethod<detail :: SafeIntException>'. You might want to limit Cppcheck recursion.
templateRecursion	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/SafeInt/SafeInt.hpp	1140	27	TemplateSimplifier: max template recursion (100) reached for template 'type_compare<wchar_t>'. You might want to limit Cppcheck recursion.
noExplicitConstructor	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	444	5	Class 'path' has a constructor with 1 argument that is not explicit.
noExplicitConstructor	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	446	5	Class 'path' has a constructor with 1 argument that is not explicit.
knownConditionTrueFalse	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	1512	22	Condition 'unicode>=0x80' is always true
knownConditionTrueFalse	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	3407	55	Condition '_iter!=_last' is always true
useStlAlgorithm	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	3316	16	Consider using std::accumulate algorithm instead of a raw loop.
unreadVariable	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	4579	17	Variable 'fs' is assigned a value that is never used.
preprocessorErrorDirective	auxibroker/caf/libcaf_core/caf/inspector_access.hpp	14	0	failed to evaluate #if condition
knownConditionTrueFalse	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	4945	25	Condition 'lisize.QuadPart<0' is always false
cstyleCast	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	2460	25	C-style pointer casting
useStlAlgorithm	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	1813	23	Consider using std::replace_if algorithm instead of a raw loop.
useStlAlgorithm	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	2914	15	Consider using std::replace_if algorithm instead of a raw loop.
unusedVariable	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	2380	25	Unused variable: result
postfixOperator	auxispicy/spicy/hilti/runtime/include/hilti/rt/3rdparty/ghc/filesystem.hpp	3391	17	Prefer prefix ++/-- operators for non-primitive types.
noValidConfiguration	auxibroker/tests/cpp/status_subscriber.cc	0	0	This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.
syntaxError	src/zeek/zeek/zeek/zeek/zeek/zeek/zeek/List.h	33	1	syntax error
syntaxError	src/zeek/zeek/List.h	33	1	syntax error
syntaxError	src/zeek/zeek/zeek/zeek/zeek/List.h	33	1	syntax error
syntaxError	auxispicy/spicy/hilti/toolchain/include/hilti/base/visitor.h	24	98	syntax error: operator
noValidConfiguration	auxibroker/caf/libcaf_core/src/load_inspector.cpp	0	0	This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.
noValidConfiguration	auxibroker/caf/libcaf_io/src/io/abstract_broker.cpp	0	0	This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.
invalidPrintfArgType_sint	auxispicy/spicy/3rdparty/justrx/src/dfa-interpreter-min.c	68	13	%d in format string (no. 1) requires 'int' but the argument type is 'unsigned int'.
memleak	auxispicy/spicy/3rdparty/justrx/src/ccl.h	23	1	Memory leak: fset
memleak	auxispicy/spicy/3rdparty/justrx/src/ccl.h	39	1	Memory leak: fset
memleak	auxispicy/spicy/3rdparty/justrx/src/nfa.h	27	1	Memory leak: fset
memleak	auxispicy/spicy/3rdparty/justrx/src/nfa.h	35	1	Memory leak: fset
memleak	auxispicy/spicy/3rdparty/justrx/src/dfa.h	23	1	Memory leak: fset
