Checker	Path	Line	Column	Message
DCL02-C	git.c	27	1	Use visually distinct identifiers: git_usage_string
DCL02-C	git.c	35	1	Use visually distinct identifiers: git_more_info_string
STR11-C	git.c	27	1	Do not specify the dimension of a character array initialized with a string literal
STR11-C	git.c	35	1	Do not specify the dimension of a character array initialized with a string literal
INT01-C	git.c	49	11	Use rsize_t or size_t for all integer values representing the size of an object
DCL00-C	git.c	59	2	Const-qualify immutable objects: token_len
EXP12-C	git.c	74	2	Do not ignore values returned by functions: setup_git_directory_gently
DCL00-C	git.c	78	3	Const-qualify immutable objects: len
INT01-C	git.c	105	16	Use rsize_t or size_t for all integer values representing the size of an object
EXP12-C	git.c	106	3	Do not ignore values returned by functions: puts
EXP12-C	git.c	115	3	Do not ignore values returned by functions: setenv
DCL05-C	git.c	135	1	Use typedefs to improve code readability
EXP12-C	git.c	160	5	Do not ignore values returned by functions: puts
EXP12-C	git.c	165	4	Do not ignore values returned by functions: puts
EXP12-C	git.c	169	4	Do not ignore values returned by functions: puts
EXP12-C	git.c	173	4	Do not ignore values returned by functions: puts
EXP12-C	git.c	184	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	192	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	198	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	206	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	212	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	220	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	226	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	234	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	240	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	246	4	Do not ignore values returned by functions: setenv
MEM01-C	git.c	247	4	Store a new value in pointers immediately after free()
MEM30-C	git.c	247	4	Do not access freed memory
MEM34-C	git.c	247	4	Only free memory allocated dynamically
EXP12-C	git.c	248	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	270	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	274	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	278	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	282	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	286	4	Do not ignore values returned by functions: setenv
EXP12-C	git.c	290	4	Do not ignore values returned by functions: setenv
INT01-C	git.c	319	19	Use rsize_t or size_t for all integer values representing the size of an object
DCL05-C	git.c	337	1	Use typedefs to improve code readability
