Rule,Alerts
ARR30-C,92
DCL00-C,1801
DCL01-C,2465
DCL02-C,1500
DCL05-C,133
DCL13-C,324
DCL38-C,8
ENV00-C,6
ENV30-C,24
ERR07-C,2
ERR33-C,132
ERR34-C,32
EXP05-C,477
EXP09-C,4
EXP12-C,3670
EXP30-C,68
EXP32-C,1
EXP36-C,2032
EXP39-C,307
EXP42-C,4
EXP44-C,169
FIO01-C,2
FIO30-C,6
FIO42-C,14
FLP02-C,1
FLP03-C,14
FLP06-C,1
FLP34-C,1
INT01-C,3187
INT07-C,539
INT13-C,5814
INT14-C,1288
INT32-C,63
INT33-C,61
INT34-C,56
INT36-C,32
MEM01-C,564
MEM04-C,2
MEM07-C,1
MEM30-C,54
MEM31-C,13
MEM34-C,1137
MSC01-C,160
MSC05-C,28
MSC12-C,721
MSC30-C,3
POS30-C,3
POS35-C,4
STR05-C,12
STR11-C,136
Grand Total,27168
