Checker	Path	Line	Column	Message
DCL02-C	auxibinpac/lib/binpac_buffer.cc	83	3	Use visually distinct identifiers: value
DCL02-C	auxibinpac/lib/binpac_buffer.cc	2091	3	Use visually distinct identifiers: alignment_value
DCL02-C	auxibinpac/lib/binpac_buffer.cc	52	3	Use visually distinct identifiers: npos
DCL02-C	auxibinpac/lib/binpac_buffer.cc	25	21	Use visually distinct identifiers: data
DCL02-C	auxibinpac/lib/binpac_buffer.cc	25	31	Use visually distinct identifiers: length
DCL02-C	auxibinpac/lib/binpac_buffer.cc	37	45	Use visually distinct identifiers: s
DCL02-C	auxibinpac/lib/binpac_buffer.cc	44	26	Use visually distinct identifiers: begin
DCL02-C	auxibinpac/lib/binpac_buffer.cc	45	24	Use visually distinct identifiers: end
DCL02-C	auxibinpac/lib/binpac_buffer.cc	65	49	Use visually distinct identifiers: x
DCL02-C	auxibinpac/lib/binpac_buffer.cc	67	51	Use visually distinct identifiers: x
DCL02-C	auxibinpac/lib/binpac_buffer.cc	74	21	Use visually distinct identifiers: begin
DCL02-C	auxibinpac/lib/binpac_buffer.cc	95	57	Use visually distinct identifiers: x
OBJ32-CPP	auxibinpac/lib/binpac_buffer.cc	30	1	FlowBuffer is a non-explicit single-argument constructor.
MSC12-C	auxibinpac/lib/binpac_buffer.cc	64	2	Detect and remove code that has no effect
MSC01-C	auxibinpac/lib/binpac_buffer.cc	69	3	Strive for logical completeness
MSC12-C	auxibinpac/lib/binpac_buffer.cc	83	2	Detect and remove code that has no effect
DCL00-C	auxibinpac/lib/binpac_buffer.cc	121	3	Const-qualify immutable objects: reason
ERR08-CPP	auxibinpac/lib/binpac_buffer.cc	122	3	Should throw a special-purpose exception object.
ERR08-CPP	auxibinpac/lib/binpac_buffer.cc	130	3	Should throw a special-purpose exception object.
ERR08-CPP	auxibinpac/lib/binpac_buffer.cc	144	3	Should throw a special-purpose exception object.
DCL01-C	auxibinpac/lib/binpac_buffer.cc	183	63	Do not reuse variable names in subscopes: end
MSC12-C	auxibinpac/lib/binpac_buffer.cc	198	2	Detect and remove code that has no effect
MSC12-C	auxibinpac/lib/binpac_buffer.cc	201	2	Detect and remove code that has no effect
DCL01-C	auxibinpac/lib/binpac_buffer.cc	229	40	Do not reuse variable names in subscopes: begin
DCL01-C	auxibinpac/lib/binpac_buffer.cc	229	61	Do not reuse variable names in subscopes: end
MSC12-C	auxibinpac/lib/binpac_buffer.cc	231	2	Detect and remove code that has no effect
MSC12-C	auxibinpac/lib/binpac_buffer.cc	235	2	Detect and remove code that has no effect
MSC12-C	auxibinpac/lib/binpac_buffer.cc	269	3	Detect and remove code that has no effect
MSC12-C	auxibinpac/lib/binpac_buffer.cc	518	3	Detect and remove code that has no effect
MSC12-C	auxibinpac/lib/binpac_buffer.cc	543	2	Detect and remove code that has no effect
MSC12-C	auxibinpac/lib/binpac_buffer.cc	549	2	Detect and remove code that has no effect
DCL01-C	auxibinpac/lib/binpac_buffer.cc	0	0	Do not reuse variable names in subscopes: allocator < char  >
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	A class with a pointer data member should probably define a copy constructor, copy assignment, and destructor.
OBJ32-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	__normal_iterator is a non-explicit single-argument constructor.
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	A class with a pointer data member should probably define a copy constructor, copy assignment, and destructor.
OBJ32-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	__normal_iterator is a non-explicit single-argument constructor.
DCL01-C	auxibinpac/lib/binpac_buffer.cc	0	0	Do not reuse variable names in subscopes:
DCL01-C	auxibinpac/lib/binpac_buffer.cc	0	0	Do not reuse variable names in subscopes: allocator < char  >
DCL01-C	auxibinpac/lib/binpac_buffer.cc	0	0	Do not reuse variable names in subscopes:
OBJ32-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	basic_string is a non-explicit single-argument constructor.
OBJ32-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	basic_string is a non-explicit single-argument constructor.
DCL05-C	auxibinpac/lib/binpac_buffer.cc	0	0	Use typedefs to improve code readability
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	If any of copy constructor, copy assignment, and destructor are declared, all three should be.
OBJ00-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	Public data member
DCL05-C	auxibinpac/lib/binpac_buffer.cc	0	0	Use typedefs to improve code readability
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	If any of copy constructor, copy assignment, and destructor are declared, all three should be.
OBJ00-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	Public data member
DCL05-C	auxibinpac/lib/binpac_buffer.cc	0	0	Use typedefs to improve code readability
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	If any of copy constructor, copy assignment, and destructor are declared, all three should be.
OBJ00-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	Public data member
DCL05-C	auxibinpac/lib/binpac_buffer.cc	0	0	Use typedefs to improve code readability
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	If any of copy constructor, copy assignment, and destructor are declared, all three should be.
OBJ00-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	Public data member
DCL05-C	auxibinpac/lib/binpac_buffer.cc	0	0	Use typedefs to improve code readability
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	If any of copy constructor, copy assignment, and destructor are declared, all three should be.
OBJ00-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	Public data member
DCL05-C	auxibinpac/lib/binpac_buffer.cc	0	0	Use typedefs to improve code readability
MEM41-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	If any of copy constructor, copy assignment, and destructor are declared, all three should be.
OBJ00-CPP	auxibinpac/lib/binpac_buffer.cc	0	0	Public data member
DCL05-C	auxibinpac/lib/binpac_buffer.cc	0	0	Use typedefs to improve code readability
