Rule,Alerts
ARR30-C,25
ARR37-C,9
DCL00-C,576
DCL01-C,2553
DCL02-C,476
DCL05-C,1193
DCL13-C,62
ERR33-C,20
ERR34-C,23
ERR60-CPP,86
EXP05-C,77
EXP09-C,7
EXP12-C,507
EXP30-C,5
EXP32-C,2
EXP34-C,17
EXP36-C,94
EXP39-C,99
EXP42-C,4
EXP44-C,2
FIO11-C,1
FIO42-C,3
FLP02-C,11
FLP03-C,11
FLP34-C,6
INT01-C,925
INT07-C,247
INT13-C,736
INT14-C,174
INT32-C,16
INT33-C,12
INT34-C,8
INT36-C,39
MEM01-C,34
MEM04-C,7
MEM34-C,23
MSC01-C,42
MSC05-C,3
MSC12-C,480
MSC30-C,1
NONE,3682
OOP54-CPP,2230
SIG30-C,7
STR05-C,7
STR11-C,19
STR37-C,6
Grand Total,14567
